reason,site_id,district,partner,source
name_pending_verification,kulmiye garsoor,Gaalkacyo,DRC,Kobo
name_pending_verification,Buulo-nooto,Gaalkacyo,DRC,Kobo
name_pending_verification,Barwaaqo,Gaalkacyo,DRC,Kobo
name_pending_verification,Allnasiib,Gaalkacyo,DRC,Kobo
name_pending_verification,Liban 1,Gaalkacyo,DRC,Kobo
name_pending_verification,Baantu 1,Gaalkacyo,DRC,Kobo
name_pending_verification,Maryamo,Gaalkacyo,DRC,Kobo
name_pending_verification,Buulo- jawan 2,Gaalkacyo,DRC,Kobo
name_pending_verification,Hiran 4,Gaalkacyo,DRC,Kobo
name_pending_verification,Hilaac,Gaalkacyo,DRC,Kobo
name_pending_verification,Hiran 2,Gaalkacyo,DRC,Kobo
name_pending_verification,Ceelgaab 2,Gaalkacyo,DRC,Kobo
name_pending_verification,Qoraxey 2,Gaalkacyo,DRC,Kobo
name_pending_verification,Hayaan bacadwayne,Gaalkacyo,DRC,Kobo
name_pending_verification,Cawaysdheere,Gaalkacyo,DRC,Kobo
name_pending_verification,Salamey1,Baydhaba,AMARD,Kobo
name_pending_verification,Waraskale,Baydhaba,AMARD,Kobo
name_pending_verification,Elboon1,Baydhaba,AMARD,Kobo
name_pending_verification,Surwala,Baydhaba,AMARD,Kobo
name_pending_verification,Bulabaqay,Baydhaba,AMARD,Kobo
name_pending_verification,Kulmiye kabey,Baydhaba,AMARD,Kobo
name_pending_verification,Landiin,Baydhaba,AMARD,Kobo
name_pending_verification,Bula hubey,Baydhaba,AMARD,Kobo
name_pending_verification,Dambal Alam,Baydhaba,AMARD,Kobo
name_pending_verification,Janala,Baydhaba,AMARD,Kobo
name_pending_verification,Baqaley Ribe,Baydhaba,AMARD,Kobo
name_pending_verification,Gofmareer,Baydhaba,AMARD,Kobo
name_pending_verification,Beerbara,Baydhaba,AMARD,Kobo
name_pending_verification,Nasib door,Baydhaba,AMARD,Kobo
name_pending_verification,Gofgadud burey,Baydhaba,AMARD,Kobo
name_pending_verification,Nimcola,Baydhaba,AMARD,Kobo
name_pending_verification,Usely,Baydhaba,AMARD,Kobo
name_pending_verification,Allasuge,Baydhaba,AMARD,Kobo
name_pending_verification,Dowat malabley,Baydhaba,AMARD,Kobo
name_pending_verification,Kanana,Baydhaba,AMARD,Kobo
name_pending_verification,Banbara,Baydhaba,AMARD,Kobo
name_pending_verification,Settlement one,Kismaayo,ACTED,Kobo
name_pending_verification,Doon Subagle IDP,Belet Weyne,DRC,Kobo
name_pending_verification,Daryel IDP,Belet Weyne,DRC,Kobo
name_pending_verification,Camp qootiro,Ceel Buur,NoFYL,Kobo
name_pending_verification,Shabeele IDP,Belet Weyne,DRC,Kobo
name_pending_verification,Waryussuf,Baydhaba,DRC,Kobo
name_pending_verification,Wajid1,Baydhaba,DRC,Kobo
name_pending_verification,Wayaamo2,Baydhaba,DRC,Kobo
name_pending_verification,War gaboy,Baydhaba,DRC,Kobo
name_pending_verification,Wartugeer,Baydhaba,DRC,Kobo
name_pending_verification,Lagalay,Baydhaba,DRC,Kobo
name_pending_verification,Gudka,Baydhaba,DRC,Kobo
name_pending_verification,Wargaduud,Baydhaba,DRC,Kobo
name_pending_verification,Shibeele,Baydhaba,DRC,Kobo
name_pending_verification,Halal Goy,Baydhaba,DRC,Kobo
name_pending_verification,Buulo Nuto,Baydhaba,DRC,Kobo
name_pending_verification,Buulo,Baydhaba,DRC,Kobo
name_pending_verification,Wisil,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Hogor iyomandhow,Baydhaba,DRC,Kobo
name_pending_verification,Edkiyal,Baydhaba,DRC,Kobo
name_pending_verification,Bedenbedey2,Baydhaba,DRC,Kobo
name_pending_verification,Wargarasmosh,Baydhaba,DRC,Kobo
name_pending_verification,Laascanood,Baydhaba,DRC,Kobo
name_pending_verification,Banjinaay,Baydhaba,DRC,Kobo
name_pending_verification,Abaq Haluul,Baydhaba,DRC,Kobo
name_pending_verification,Wardhujiley,Baydhaba,DRC,Kobo
name_pending_verification,Mosin,Baydhaba,DRC,Kobo
name_pending_verification,Towsile,Baydhaba,DRC,Kobo
name_pending_verification,Ided Borey,Baydhaba,DRC,Kobo
name_pending_verification,Ajuran,Ceel Buur,NoFYL,Kobo
name_pending_verification,Sheybileer,Baydhaba,DRC,Kobo
name_pending_verification,Bukshikaab,Baydhaba,DRC,Kobo
name_pending_verification,Kalkal,Baydhaba,DRC,Kobo
name_pending_verification,Doodey ii daarow,Baydhaba,DRC,Kobo
name_pending_verification,Zabriye,Baydhaba,DRC,Kobo
name_pending_verification,Buulu fin,Baydhaba,DRC,Kobo
name_pending_verification,Deegaan,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Awhirey,Baydhaba,DRC,Kobo
name_pending_verification,Buula jawaan,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Balowka shabellow,Baydhaba,DRC,Kobo
name_pending_verification,Hayaan,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Tuweerdheer,Baydhaba,DRC,Kobo
name_pending_verification,Warfa Eyli,Baydhaba,DRC,Kobo
name_pending_verification,Obooy aashow,Baydhaba,DRC,Kobo
name_pending_verification,Misnagitu,Baydhaba,DRC,Kobo
name_pending_verification,Celgab1,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Nayuu Qasaxdhere,Baydhaba,DRC,Kobo
name_pending_verification,Karama,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Wisl,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Bay iyo bakol,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Anshuuri,Baydhaba,SWCRI,Kobo
name_pending_verification,Bardale,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Taakulo,Gaalkacyo,NoFYL,Kobo
name_pending_verification,Bay iyo Bakool,Gaalkacyo,NoFYL,Kobo
